ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESS,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,DEALSIZE,Full_name
10107,30,95.7,2,2871,"24-02-2003 0.00",Shipped,1,2,2003,Motorcycles,95,S10_1678,"Land of Toys Inc.",2125557818,"897 Long Airport Avenue",NYC,NY,10022,USA,NA,Small,Kwai-Yu
10145,45,83.26,6,3746.7,"25-08-2003 0.00",Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,"78934 Hillside Dr.",Pasadena,CA,90003,USA,NA,Medium,Julie-Young
10168,36,96.66,1,3479.76,"28-10-2003 0.00",Shipped,4,10,2003,Motorcycles,95,S10_1678,"Technics Stores Inc.",6505556809,"9408 Furth Circle",Burlingame,CA,94217,USA,NA,Medium,Juri-Hirano
10223,37,100,1,3965.66,"20-02-2004 0.00",Shipped,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.","03 9520 4555","636 St Kilda Road",Melbourne,Victoria,3004,Australia,APAC,Medium,Peter-Ferguson
10237,23,100,7,2333.12,"04-05-2004 0.00",Shipped,2,4,2004,Motorcycles,95,S10_1678,"Vitachrome Inc.",2125551500,"2678 Kingston Rd.",NYC,NY,10022,USA,NA,Small,Michael-Frick
10251,28,100,2,3188.64,"18-05-2004 0.00",Shipped,2,5,2004,Motorcycles,95,S10_1678,"Tekni Collectables Inc.",2015559350,"7476 Moss Rd.",Newark,NJ,94019,USA,NA,Medium,William-Brown
10263,34,100,2,3676.76,"28-06-2004 0.00",Shipped,2,6,2004,Motorcycles,95,S10_1678,"Gift Depot Inc.",2035552570,"25593 South Bay Ln.",Bridgewater,CT,97562,USA,NA,Medium,Julie-King
10285,36,100,6,4099.68,"27-08-2004 0.00",Shipped,3,8,2004,Motorcycles,95,S10_1678,"Marta's Replicas Co.",6175558555,"39323 Spinnaker Dr.",Cambridge,MA,51247,USA,NA,Medium,Marta-Hernandez
10318,46,94.74,1,4358.04,"11-02-2004 0.00",Shipped,4,11,2004,Motorcycles,95,S10_1678,"Diecast Classics Inc.",2155551555,"7586 Pompton St.",Allentown,PA,70267,USA,NA,Medium,Kyung-Yu
10329,42,100,1,4396.14,"15-11-2004 0.00",Shipped,4,11,2004,Motorcycles,95,S10_1678,"Land of Toys Inc.",2125557818,"897 Long Airport Avenue",NYC,NY,10022,USA,NA,Medium,Kwai-Yu
10361,20,72.55,13,1451,"17-12-2004 0.00",Shipped,4,12,2004,Motorcycles,95,S10_1678,"Souveniers And Things Co.","+61 2 9495 8555","Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Small,Adrian-Huxley
10388,42,76.36,4,3207.12,"03-03-2005 0.00",Shipped,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,"1785 First Street","New Bedford",MA,50553,USA,NA,Medium,Violeta-Benitez
10140,37,100,11,7374.1,"24-07-2003 0.00",Shipped,3,7,2003,"Classic Cars",214,S10_1949,"Technics Stores Inc.",6505556809,"9408 Furth Circle",Burlingame,CA,94217,USA,NA,Large,Juri-Hirano
10163,21,100,1,4860.24,"20-10-2003 0.00",Shipped,4,10,2003,"Classic Cars",214,S10_1949,"Classic Legends Inc.",2125558493,"5905 Pompton St.",NYC,NY,10022,USA,NA,Medium,Maria-Hernandez
10174,34,100,4,8014.82,"11-06-2003 0.00",Shipped,4,11,2003,"Classic Cars",214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,"31 Duncan St. West End","South Brisbane",Queensland,4101,Australia,APAC,Large,Tony-Calaghan
10183,23,100,8,5372.57,"13-11-2003 0.00",Shipped,4,11,2003,"Classic Cars",214,S10_1949,"Classic Gift Ideas, Inc",2155554695,"782 First Street",Philadelphia,PA,71270,USA,NA,Medium,Francisca-Cervantes
10215,35,100,3,6075.3,"29-01-2004 0.00",Shipped,1,1,2004,"Classic Cars",214,S10_1949,"West Coast Collectables Co.",3105553722,"3675 Furth Circle",Burbank,CA,94019,USA,NA,Medium,Steve-Thompson
10228,29,100,2,6463.23,"03-10-2004 0.00",Shipped,1,3,2004,"Classic Cars",214,S10_1949,"Cambridge Collectables Co.",6175555555,"4658 Baden Av.",Cambridge,MA,51247,USA,NA,Medium,Kyung-Tseng
10245,34,100,9,6120.34,"05-04-2004 0.00",Shipped,2,5,2004,"Classic Cars",214,S10_1949,"Super Scale Inc.",2035559545,"567 North Pendale Street","New Haven",CT,97823,USA,NA,Medium,Leslie-Murphy
10270,21,100,9,4905.39,"19-07-2004 0.00",Shipped,3,7,2004,"Classic Cars",214,S10_1949,"Souveniers And Things Co.","+61 2 9495 8555","Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Medium,Adrian-Huxley
10312,48,100,3,11623.7,"21-10-2004 0.00",Shipped,4,10,2004,"Classic Cars",214,S10_1949,"Mini Gifts Distributors Ltd.",4155551450,"5677 Strong St.","San Rafael",CA,97562,USA,NA,Large,Valarie-Nelson
10322,40,100,1,6000.4,"11-04-2004 0.00",Shipped,4,11,2004,"Classic Cars",214,S10_1949,"Online Diecast Creations Co.",6035558647,"2304 Long Airport Avenue",Nashua,NH,62005,USA,NA,Medium,Valarie-Young
10347,30,100,1,3944.7,"29-11-2004 0.00",Shipped,4,11,2004,"Classic Cars",214,S10_1949,"Australian Collectors, Co.","03 9520 4555","636 St Kilda Road",Melbourne,Victoria,3004,Australia,APAC,Medium,Peter-Ferguson
10357,32,100,10,5691.84,"12-10-2004 0.00",Shipped,4,12,2004,"Classic Cars",214,S10_1949,"Mini Gifts Distributors Ltd.",4155551450,"5677 Strong St.","San Rafael",CA,97562,USA,NA,Medium,Valarie-Nelson
10369,41,100,2,4514.92,"20-01-2005 0.00",Shipped,1,1,2005,"Classic Cars",214,S10_1949,"Collectables For Less Inc.",6175558555,"7825 Douglas Av.",Brickhaven,MA,58339,USA,NA,Medium,Allen-Nelson
10391,24,100,4,2416.56,"03-09-2005 0.00",Shipped,1,3,2005,"Classic Cars",214,S10_1949,"Anna's Decorations, Ltd","02 9936 8555","201 Miller Street","North Sydney",NSW,2060,Australia,APAC,Small,Anna-O'Hara
10107,39,99.91,5,3896.49,"24-02-2003 0.00",Shipped,1,2,2003,Motorcycles,118,S10_2016,"Land of Toys Inc.",2125557818,"897 Long Airport Avenue",NYC,NY,10022,USA,NA,Medium,Kwai-Yu
10120,29,96.34,3,2793.86,"29-04-2003 0.00",Shipped,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.","03 9520 4555","636 St Kilda Road",Melbourne,Victoria,3004,Australia,APAC,Small,Peter-Ferguson
10145,37,100,9,5192.95,"25-08-2003 0.00",Shipped,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,"78934 Hillside Dr.",Pasadena,CA,90003,USA,NA,Medium,Julie-Young
10168,27,100,4,3660.93,"28-10-2003 0.00",Shipped,4,10,2003,Motorcycles,118,S10_2016,"Technics Stores Inc.",6505556809,"9408 Furth Circle",Burlingame,CA,94217,USA,NA,Medium,Juri-Hirano
10223,47,100,4,5422.39,"20-02-2004 0.00",Shipped,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.","03 9520 4555","636 St Kilda Road",Melbourne,Victoria,3004,Australia,APAC,Medium,Peter-Ferguson
10236,22,100,1,2852.08,"04-03-2004 0.00",Shipped,2,4,2004,Motorcycles,118,S10_2016,"Motor Mint Distributors Inc.",2155559857,"11328 Douglas Av.",Philadelphia,PA,71270,USA,NA,Small,Rosa-Hernandez
10251,44,100,5,5756.52,"18-05-2004 0.00",Shipped,2,5,2004,Motorcycles,118,S10_2016,"Tekni Collectables Inc.",2015559350,"7476 Moss Rd.",Newark,NJ,94019,USA,NA,Medium,William-Brown
10263,40,100,5,4472,"28-06-2004 0.00",Shipped,2,6,2004,Motorcycles,118,S10_2016,"Gift Depot Inc.",2035552570,"25593 South Bay Ln.",Bridgewater,CT,97562,USA,NA,Medium,Julie-King
10285,47,100,9,6484.59,"27-08-2004 0.00",Shipped,3,8,2004,Motorcycles,118,S10_2016,"Marta's Replicas Co.",6175558555,"39323 Spinnaker Dr.",Cambridge,MA,51247,USA,NA,Medium,Marta-Hernandez
10308,34,100,2,4043.96,"15-10-2004 0.00",Shipped,4,10,2004,Motorcycles,118,S10_2016,"Mini Classics",9145554562,"3758 North Pendale Street","White Plains",NY,24067,USA,NA,Medium,Steve-Frick
10318,45,100,4,5566.5,"11-02-2004 0.00",Shipped,4,11,2004,Motorcycles,118,S10_2016,"Diecast Classics Inc.",2155551555,"7586 Pompton St.",Allentown,PA,70267,USA,NA,Medium,Kyung-Yu
10329,20,100,2,3176,"15-11-2004 0.00",Shipped,4,11,2004,Motorcycles,118,S10_2016,"Land of Toys Inc.",2125557818,"897 Long Airport Avenue",NYC,NY,10022,USA,NA,Medium,Kwai-Yu
10361,26,51.15,8,1329.9,"17-12-2004 0.00",Shipped,4,12,2004,Motorcycles,118,S10_2016,"Souveniers And Things Co.","+61 2 9495 8555","Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Small,Adrian-Huxley
10374,39,100,5,5288.01,"02-02-2005 0.00",Shipped,1,2,2005,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,"31 Duncan St. West End","South Brisbane",Queensland,4101,Australia,APAC,Medium,Tony-Calaghan
10388,50,44.51,5,2225.5,"03-03-2005 0.00",Shipped,1,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,"1785 First Street","New Bedford",MA,50553,USA,NA,Small,Violeta-Benitez
